date,asset_id,event_type,event_name,category,attendees,revenue
2025-01-02 00:00:00+00:00,Aquarabia,Conferences,Tourism & Hospitality Forum 2024,Educational,765,269980.97
2025-01-02 00:00:00+00:00,Six Flags,Meetings,Annual Planning Session 2024,Educational,371,90387.85
2025-01-02 00:00:00+00:00,Six Flags,Meetings,Quarterly Business Review 2024,Corporate,416,152376.02
2025-01-03 00:00:00+00:00,Six Flags,Meetings,Executive Roundtable 2024,Corporate,383,94075.46
2025-01-03 00:00:00+00:00,Six Flags,Meetings,Strategic Planning Forum 2024,Educational,323,100447.19
2025-01-05 00:00:00+00:00,Six Flags,Exhibitions,Entertainment Industry Fair 2024,Educational,793,256587.19
2025-01-06 00:00:00+00:00,Aquarabia,Conferences,Tourism Leadership Summit 2024,Technology,545,194537.34
2025-01-06 00:00:00+00:00,Six Flags,Conferences,Theme Park Technology Conference 2024,Entertainment,578,163564.27
2025-01-09 00:00:00+00:00,Aquarabia,Meetings,Quarterly Business Review 2024,Technology,417,134089.77
2025-01-10 00:00:00+00:00,Six Flags,Conferences,Tourism & Hospitality Forum 2024,Technology,848,190150.82
2025-01-10 00:00:00+00:00,Aquarabia,Conferences,Customer Experience Summit 2024,Educational,834,201114.78
2025-01-12 00:00:00+00:00,Six Flags,Conferences,Tourism & Hospitality Forum 2024,Technology,593,144797.6
2025-01-13 00:00:00+00:00,Six Flags,Conferences,Tourism & Hospitality Forum 2024,Educational,657,177849.08
2025-01-15 00:00:00+00:00,Six Flags,Incentives,Success Summit 2024,Educational,748,171809.38
2025-01-17 00:00:00+00:00,Six Flags,Meetings,Leadership Summit 2024,Entertainment,359,121594.42
2025-01-19 00:00:00+00:00,Aquarabia,Exhibitions,Innovation Exhibition 2024,Corporate,928,319236.79
2025-01-19 00:00:00+00:00,Six Flags,Conferences,Sustainability Congress 2024,Technology,788,270264.04
2025-01-20 00:00:00+00:00,Aquarabia,Meetings,Strategic Planning Forum 2024,Technology,414,107083.41
2025-01-20 00:00:00+00:00,Aquarabia,Meetings,Management Review 2024,Educational,254,85645.02
2025-01-21 00:00:00+00:00,Aquarabia,Exhibitions,Digital Solutions Exhibition 2024,Corporate,1128,303634.82
2025-01-22 00:00:00+00:00,Aquarabia,Meetings,Quarterly Business Review 2024,Entertainment,494,159935.66
2025-01-23 00:00:00+00:00,Six Flags,Conferences,Tourism & Hospitality Forum 2024,Technology,838,217370.74
2025-01-23 00:00:00+00:00,Aquarabia,Conferences,Digital Innovation Conference 2024,Technology,635,207991.51
2025-01-26 00:00:00+00:00,Aquarabia,Incentives,Peak Performers Retreat 2024,Technology,760,225829.82
2025-01-28 00:00:00+00:00,Aquarabia,Incentives,Champions Club Gathering 2024,Technology,775,246253.61
2025-02-02 00:00:00+00:00,Aquarabia,Incentives,Success Summit 2024,Entertainment,313,91793.59
2025-02-02 00:00:00+00:00,Six Flags,Meetings,Leadership Summit 2024,Educational,286,88395.05
2025-02-03 00:00:00+00:00,Six Flags,Exhibitions,Entertainment Industry Fair 2024,Educational,890,269068.8
2025-02-05 00:00:00+00:00,Aquarabia,Meetings,Strategic Planning Forum 2024,Corporate,484,128219.98
2025-02-07 00:00:00+00:00,Aquarabia,Conferences,Theme Park Technology Conference 2024,Corporate,680,226560.19
2025-02-09 00:00:00+00:00,Six Flags,Incentives,Peak Performers Retreat 2024,Technology,506,128808.13
2025-02-10 00:00:00+00:00,Aquarabia,Meetings,Stakeholder Assembly 2024,Corporate,385,89604.01
2025-02-11 00:00:00+00:00,Aquarabia,Meetings,Board Meeting 2024,Educational,412,134489.86
2025-02-13 00:00:00+00:00,Six Flags,Meetings,Executive Roundtable 2024,Entertainment,297,79419.66
2025-02-13 00:00:00+00:00,Aquarabia,Meetings,Annual Planning Session 2024,Entertainment,291,89759.19
2025-02-17 00:00:00+00:00,Aquarabia,Conferences,Tourism & Hospitality Forum 2024,Entertainment,862,200366.68
